"judge","crtpoint","numjudge","circuit","state","statdist","month","year","libcon","apyear","party","gender","race","dem_appointed","admin"
2053,159,11,2,32,322,4,1936,0,1934,1,1,1,1,1
9141,131,5,9,5,52,6,1936,0,1935,1,1,1,1,1
8016,164,1,8,27,271,1,1937,0,1933,1,1,1,1,1
1033,34,2,1,21,211,12,1937,1,1935,1,1,1,1,1
1033,34,2,1,21,211,12,1937,0,1935,1,1,1,1,1
3059,173,3,3,38,381,3,1938,1,1936,1,1,1,1,1
8049,92,1,8,4,42,1,1939,0,1962,1,1,1,1,1
1033,34,3,1,21,211,12,1939,1,1935,1,1,1,1,1
1033,34,3,1,21,211,12,1939,0,1935,1,1,1,1,1
7013,166,1,7,49,491,9,1941,0,1939,1,1,1,1,1
6054,132,2,6,17,172,11,1941,1,1939,1,1,1,1,1
9110,206,1,9,47,471,3,1942,0,1940,1,1,1,1,1
4047,49,1,4,48,482,3,1942,0,1941,1,1,1,1,1
7053,231,1,7,49,492,2,1943,1,1933,1,1,1,1,1
4074,205,1,4,40,402,5,1943,0,1937,1,1,1,1,1
9071,216,1,9,47,472,8,1943,1,1942,1,1,1,1,1
6005,140,2,6,42,423,7,1943,1,1940,3,1,1,1,1
7013,166,1,7,49,491,12,1943,0,1939,1,1,1,1,1
6085,59,3,6,35,351,2,1944,0,1939,1,1,1,1,1
7013,166,1,7,49,491,5,1944,1,1939,1,1,1,1,1
5034,68,2,5,43,431,6,1944,0,1936,1,1,1,1,1
4074,205,1,4,40,402,6,1944,1,1937,1,1,1,1,1
8023,138,1,8,15,151,9,1944,1,1944,1,1,1,1,1
3041,173,3,3,38,381,1,1944,1,1938,1,1,1,1,1
9133,189,1,9,5,51,7,1945,0,1939,1,1,1,1,1
2027,159,12,2,32,322,2,1945,0,1949,1,1,1,1,1
9020,33,1,9,12,121,12,1943,0,1943,1,1,1,1,1
8042,213,2,8,25,251,11,1945,1,1935,1,1,1,1,1
8027,220,1,8,4,43,12,1945,1,1959,0,1,1,0,1
9055,131,6,9,5,52,5,1946,1,1940,1,1,1,1,1
7028,55,5,7,13,131,6,1946,1,1944,1,1,1,1,1
9081,177,2,9,37,371,4,1946,1,1937,1,1,1,1,1
6023,59,3,6,35,351,7,1946,1,1941,1,1,1,1,1
5035,11,1,5,10,102,6,1946,1,1935,1,1,1,1,1
9075,174,1,9,3,31,2,1946,0,1936,1,1,1,1,1
8053,120,2,8,25,252,8,1947,1,1945,1,1,1,1,1
9054,193,3,9,5,51,12,1947,1,1946,1,1,1,1,1
2012,159,12,2,32,322,8,1947,0,1941,1,1,1,1,1
9081,177,2,9,37,371,3,1948,1,1937,1,1,1,1,1
8023,99,1,8,15,151,11,1947,1,1944,1,1,1,1,1
1036,34,4,1,21,211,11,1948,0,1942,3,1,1,1,1
5112,96,1,5,10,101,9,1948,0,1940,1,1,1,1,1
8042,213,3,8,25,251,7,1947,1,1935,1,1,1,1,1
9087,131,6,9,5,52,2,1947,1,1945,1,1,1,1,1
10017,7,1,10,3,31,9,1949,0,1949,1,1,1,1,1
1008,176,1,1,19,191,11,1949,1,1947,1,1,1,1,1
9081,177,2,9,37,371,5,1949,0,1937,1,1,1,1,1
6013,53,1,6,42,421,10,1948,1,1939,1,1,1,1,1
8016,164,1,8,27,271,6,1950,1,1933,1,1,1,1,1
8062,73,1,8,15,152,11,1950,1,1949,1,1,1,1,1
9033,206,1,9,47,471,1,1951,1,1946,1,1,1,1,1
4007,9,1,4,46,461,2,1951,1,1947,1,1,1,1,1
2016,186,1,2,32,324,4,1951,0,1937,1,1,1,1,1
3032,175,3,3,38,383,6,1951,1,1945,3,1,1,1,1
9087,131,7,9,5,52,6,1951,1,1945,1,1,1,1,1
2043,35,1,2,45,451,5,1951,1,1950,0,1,1,1,1
9014,131,7,9,5,52,7,1951,1,1950,1,1,1,1,1
10044,163,3,10,36,365,7,1951,0,1950,1,1,1,1,1
2103,159,16,2,32,322,8,1951,1,1950,1,1,1,1,1
2016,186,1,2,32,324,8,1951,1,1937,1,1,1,1,1
7053,231,1,7,49,492,3,1952,0,1933,1,1,1,1,1
6075,100,1,6,42,421,7,1952,0,1950,1,1,1,1,1
9042,117,1,9,2,21,10,1952,1,1947,1,1,1,1,1
2057,159,16,2,32,322,12,1952,0,1949,1,1,1,1,1
10044,163,3,10,36,365,6,1953,1,1950,1,1,1,1,1
2013,37,6,2,32,323,6,1953,1,1953,0,1,1,0,1
3062,152,4,3,30,301,6,1953,1,1942,1,1,1,1,1
3064,152,4,3,30,301,6,1953,0,1951,1,1,1,1,1
2010,227,1,2,32,321,6,1953,1,1942,1,1,1,1,1
8003,214,1,8,23,231,9,1953,1,1933,1,1,1,1,1
3036,152,4,3,30,301,7,1953,1,1951,0,1,1,1,1
3036,152,4,3,30,301,11,1953,1,1951,0,1,1,1,1
6075,100,1,6,42,421,11,1953,0,1950,1,1,1,1,1
7021,55,8,7,13,131,10,1953,1,1953,0,1,1,0,1
7021,55,8,7,13,131,10,1953,1,1953,0,1,1,0,1
8040,92,1,8,4,42,12,1953,1,1941,1,1,1,1,1
7021,55,8,7,13,131,10,1953,1,1953,0,1,1,0,1
3078,152,4,3,30,301,1,1954,1,1941,1,1,1,1,0
9020,33,1,9,12,121,4,1953,1,1943,1,1,1,1,1
8053,120,3,8,25,252,1,1954,1,1945,1,1,1,1,0
7056,142,1,7,49,491,6,1954,1,1949,1,1,1,1,0
1008,176,1,1,19,191,7,1954,1,1947,1,1,1,1,0
9017,131,8,9,5,52,9,1954,0,1949,1,1,1,1,0
2034,159,17,2,32,322,10,1954,0,1954,0,1,1,0,0
3050,237,2,3,8,81,10,1954,1,1942,1,1,1,1,0
7042,122,1,7,14,141,12,1954,1,1954,0,1,1,0,0
8023,99,1,8,15,151,1,1955,1,1944,1,1,1,1,0
3050,237,3,3,8,81,9,1954,1,1942,1,1,1,1,0
8011,128,1,8,27,271,3,1955,1,1942,1,1,1,1,0
9017,131,9,9,5,52,11,1952,1,1949,1,1,1,1,1
2010,227,1,2,32,321,4,1955,1,1942,1,1,1,1,0
9017,131,9,9,5,52,10,1955,0,1949,1,1,1,1,0
2035,159,17,2,32,322,8,1955,1,1951,1,1,1,1,0
8040,92,1,8,4,41,6,1955,1,1941,1,1,1,1,0
2103,159,17,2,32,322,5,1956,1,1950,1,1,1,1,0
8040,92,1,8,4,42,8,1956,0,1941,1,1,1,1,0
2067,159,18,2,32,322,7,1956,1,1956,0,1,1,0,0
9051,189,1,9,5,51,3,1957,1,1954,0,1,1,0,0
2013,37,5,2,32,323,4,1957,1,1953,0,1,1,0,0
5010,218,2,5,9,93,6,1957,1,1940,1,1,1,1,0
3063,175,4,3,38,383,5,1957,1,1952,0,1,1,0,0
2103,159,18,2,32,322,4,1957,1,1950,1,1,1,1,0
4030,184,1,4,46,461,9,1957,0,1944,1,1,1,1,0
88016,230,15,88,55,551,10,1957,1,1945,3,1,1,1,0
3056,175,4,3,38,383,3,1958,0,1953,0,1,1,0,0
3036,152,5,3,30,301,4,1958,1,1951,0,1,1,1,0
1001,34,5,1,21,211,4,1958,1,1954,0,1,1,0,0
2014,159,17,2,32,322,6,1958,0,1956,0,1,1,0,0
2013,37,5,2,32,323,6,1958,0,1953,0,1,1,0,0
88007,230,14,88,55,551,5,1958,1,1946,1,1,1,1,0
6021,127,2,6,17,171,9,1958,1,1935,1,1,1,1,0
7024,55,8,7,13,131,1,1959,1,1939,1,1,1,1,0
3060,175,4,3,38,383,1,1959,0,1950,3,1,1,1,0
5121,96,1,5,10,101,2,1959,1,1951,1,1,1,1,0
7054,55,8,7,13,131,9,1958,1,1933,1,1,1,1,0
7026,27,1,7,13,133,3,1959,1,1956,0,1,1,0,0
2013,37,6,2,32,323,6,1959,0,1953,0,1,1,0,0
10012,190,2,10,44,441,7,1959,1,1954,0,1,1,0,0
8040,92,1,8,4,42,8,1959,1,1941,1,1,1,1,0
3097,152,5,3,30,301,11,1959,1,1955,0,1,1,0,0
3036,152,5,3,30,301,11,1959,1,1951,0,1,1,1,0
6048,74,6,6,22,221,11,1959,0,1946,1,1,1,1,0
88026,230,15,88,55,551,1,1960,1,1949,1,0,1,1,0
2022,159,18,2,32,322,3,1960,1,1955,0,1,1,0,0
88043,230,15,88,55,551,3,1960,1,1951,0,1,1,1,0
2006,159,18,2,32,322,3,1960,1,1954,0,1,1,0,0
8013,143,2,8,23,231,7,1960,1,1955,0,1,1,0,0
9051,193,6,9,5,51,8,1960,1,1954,0,1,1,0,0
6038,59,4,6,35,351,9,1960,1,1959,0,1,1,0,0
2103,159,18,2,32,322,9,1960,1,1950,1,1,1,1,0
2040,6,1,2,32,321,10,1960,0,1949,3,1,1,1,0
7026,27,1,7,13,133,12,1960,1,1956,0,1,1,0,0
6048,74,5,6,22,221,3,1961,1,1946,1,1,1,1,0
9120,193,6,9,5,51,3,1961,1,1959,0,1,1,0,0
3097,152,4,3,30,301,6,1961,0,1955,0,1,1,0,0
8040,92,1,8,4,42,7,1961,0,1941,1,1,1,1,0
1016,176,1,1,19,191,6,1961,1,1957,0,1,1,0,0
10012,190,2,10,44,441,11,1961,1,1954,0,1,1,0,0
3097,152,3,3,30,301,12,1961,1,1955,0,1,1,0,0
3097,152,3,3,30,301,2,1962,1,1955,0,1,1,0,1
3097,152,4,3,30,301,2,1962,1,1955,0,1,1,0,1
2036,37,8,2,32,323,4,1962,1,1961,1,1,1,1,1
1011,178,1,1,39,391,3,1962,1,1953,0,1,1,0,1
5087,115,3,5,9,93,3,1962,1,1961,1,1,1,1,1
9021,131,8,9,5,52,5,1962,1,1955,0,1,1,0,1
